"","Country Name","Country Code","CoC_est","Gov_Eff_est","Pol_Sta_est","Reg_Qua_est","Rule_Law_est","Voice_Act_est","GDP_current","Region_fh","PR_fh","CL_fh","Total_fh","hdi","le","gni_pc","coef_ineq","gii"
"63","Georgia","GEO",0.678850498795509,0.546767660975456,-0.417637979984283,0.919246709346772,0.210626113321632,0.173479676712304,17547575656.4055,"Eurasia",24.9,37.2,62.1,0.8046,72.902,13304.921076,11.716682005,0.3175
"64","Germany","DEU",1.81555850505829,1.50205315351486,0.689418280124664,1.67313430309296,1.62075126171112,1.40608195066452,3825350756806.37,"Europe",39,55.8,94.8,0.9449,80.9239,53745.77514,7.3373857166,0.0791
"65","Ghana","GHA",-0.147939900681376,-0.224764683842659,0.0110164746642112,-0.143140449747443,0.0289156352169812,0.508935949206352,64255526620.4335,"Africa",36.3,46.5,82.8,0.5917,63.7259,4846.0100699,36.4095951,0.5294
"66","Greece","GRC",-0.0363447259180248,0.299809570610523,-0.0161301396787166,0.405257572233677,0.246152840554714,0.769956833124161,210107358014.992,"Europe",35.7,49.3,85,0.8834,80.8935,28697.515976,11.535992919,0.1224
"67","Grenada","GRD",0.436760014295578,-0.0446509307948873,0.899454855918884,0.053993347287178,0.312379337847233,0.734158366918564,1070003841.49321,"Americas",37.5,51.4,88.9,0.7872,74.9507,12816.257934,NA,NA
"68","Guatemala","GTM",-0.902710860967637,-0.74514622092247,-0.541242963075638,-0.308400598168373,-1.06235283613205,-0.367213290929794,72001410155.8156,"Americas",22.6,31.4,54,0.6343,71.6264,8216.5154586,27.8594181,0.5055
"69","Guinea","GIN",-1.00937407016754,-1.04891940355301,-0.786349195241929,-0.927626150846482,-1.24706972837448,-0.875763410329818,12143868859.7604,"Africa",15.6,24.2,39.8,0.4591,58.7956,2227.9821404,40.273274932,0.62925
"70","Guinea-Bissau","GNB",-1.45169702768326,-1.57509042024612,-0.570887610316277,-1.26036932468414,-1.41557686328888,-0.672420743107796,1332651808.06708,"Africa",14.7,25,39.7,0.4763,59.6606,1825.2422674,40.243231401,0.6322
"71","Guyana","GUY",-0.397824896872043,-0.284351774305105,-0.150970955565572,-0.523562258481979,-0.428600633144379,0.20173029769212,5999857735.01048,"Americas",31.1,42,73.1,0.7039,67.8775,16053.669254,NA,0.426
"72","Haiti","HTI",-1.3125425696373,-2.06656520366669,-0.845750719308853,-1.2369087934494,-1.14968797564506,-0.831921374797821,16112078102.7301,"Americas",16.2,23.5,39.7,0.5521,63.5321,3083.2256089,39.2235682,0.6448
"73","Honduras","HND",-0.83533883690834,-0.72560088634491,-0.517785847187042,-0.446426782011986,-1.0470163166523,-0.497900965809822,23728187626.9108,"Americas",19.5,27.5,47,0.6152,71.9997,4962.0304922,22.613734093,0.4238
"74","Hungary","HUN",0.0799955797381699,0.527642321586609,0.741455507278442,0.614300099015236,0.489555445313454,0.482832026481628,151485502094.007,"Europe",29.9,46.4,76.3,0.8461,75.7216,29082.362582,6.6675406902,0.251
